table,date_col,min_date,max_date,null_dates,rows
orders,order_date,2012-07-04,2022-12-31,0,646945
customers,signup_date,2012-01-17,2022-12-31,0,121930
promotions,start_date,2013-01-31,2022-11-18,0,50
promotions,end_date,2013-03-01,2022-12-31,0,50
shipments,ship_date,2012-07-04,2022-12-29,0,566067
shipments,delivery_date,2012-07-06,2022-12-31,0,566067
returns,return_date,2012-07-11,2022-12-31,0,39939
reviews,review_date,2012-07-10,2022-12-31,0,113551
sales,Date,2012-07-04,2022-12-31,0,3833
sample_submission,Date,2023-01-01,2024-07-01,0,548
inventory,snapshot_date,2012-07-31,2022-12-31,0,60247
web_traffic,date,2013-01-01,2022-12-31,0,3652
